legacy_id	source_set	source_path	source_item	display_name	normalized_capability	target_family	disposition	replacement	parity_level	evidence	rationale
ubuntu-027	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:027	MPV (PPA)	mpv	debian	implemented	mpv	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution mpv package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-028	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:028	SMPlayer (PPA)	smplayer	debian	implemented	smplayer	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution SMPlayer package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; legacy PPA, themes/skins extras, and optional hand-written desktop-file behavior are intentionally not retained.
ubuntu-029	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:029	Kazam (PPA)	kazam	debian	implemented	kazam	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Kazam package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA, explicitly installed Python libraries, and optional hand-written desktop file are intentionally not retained.
ubuntu-030	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:030	Audocity (PPA)	audacity	debian	implemented	audacity	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Audacity package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-031	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:031	PlayonLinux	playonlinux	debian	blocked-third-party	-	unassessed	-	An exact Ubuntu 24.04 x86_64 package-only candidate exists, but this legacy row stays blocked until accepted solver, real-install, repeat-state and intent-parity evidence promotes it.
ubuntu-032	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:032	Conky (PPA)	conky	debian	planned	conky	intent	-	Candidate mapping to the active conky module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-033	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:033	HandBrake (PPA)	handbrake	debian	implemented	handbrake	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution HandBrake GUI and CLI packages have accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-034	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:034	Inkscape (PPA)	inkscape	debian	implemented	inkscape	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Inkscape package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-035	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:035	Signal	signal	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-036	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:036	Dropbox	dropbox	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-037	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:037	WPS Office	wps-office	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-038	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:038	OpenOffice	openoffice	debian	planned	libreoffice	intent	-	The maintained LibreOffice module supersedes the legacy OpenOffice download at office-suite intent parity; accepted install evidence remains pending.
ubuntu-039	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:039	MonoDevelop	monodevelop	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	MonoDevelop is no longer under active development; use maintained C# tooling.
ubuntu-040	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:040	Kodi (PPA)	kodi	debian	implemented	kodi	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Kodi package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-041	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:041	Unity 2018.3.0f2	unity-2018-3-0f2	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	The exact Unity 2018.3 editor pin is long outside its support cycle; use an authenticated current Unity Hub/editor workflow.
ubuntu-042	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:042	Unreal Engine 4	unreal-engine-4	debian	out-of-scope	-	unassessed	docs/LEGACY_DISPOSITIONS.md#reviewed-vendor-or-deployment-handoffs	Unreal Engine access requires user-bound Epic/GitHub identity and license acceptance plus a specialized large build; use Epic's supported workflow.
ubuntu-043	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:043	Krita (64 Bit Only)	krita	debian	implemented	krita	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Krita package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy mutable AppImage and downloaded icon in a user home directory are intentionally not retained.
ubuntu-044	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:044	Kdenlive (64 Bit Only)	kdenlive	debian	implemented	kdenlive	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Kdenlive package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy mutable AppImage and downloaded icon in a user home directory are intentionally not retained.
ubuntu-045	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:045	Qt	qt	debian	planned	qt	intent	-	Candidate mapping to the active qt module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-046	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:046	AptanaStudio3 (64 Bit Only)	aptanastudio3	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	The Aptana Studio 3 upstream repository is archived and read-only; use a maintained IDE.
ubuntu-047	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:047	Irssi (PPA) (IRC)	irssi	debian	planned	irssi	intent	-	Candidate module added; package visibility was observed in local exploratory checks on Ubuntu 24.04 and Debian 12; accepted real-install and parity evidence remain pending.
ubuntu-048	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:048	Clementine (PPA)	clementine	debian	implemented	clementine	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Clementine package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-049	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:049	TeamViewer 14	teamviewer-14	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-050	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:050	TeamSpeak 3	teamspeak-3	debian	out-of-scope	-	unassessed	docs/LEGACY_DISPOSITIONS.md#reviewed-vendor-or-deployment-handoffs	TeamSpeak client download and use are governed by a user license contract; use TeamSpeak's download and onboarding workflow.
ubuntu-051	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:051	Discord	discord	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-052	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:052	Android Studio	android-studio	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-053	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:053	Geary (PPA)	geary	debian	implemented	geary	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Geary package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA, downloaded icon, and optional hand-written desktop file are intentionally not retained.
ubuntu-054	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:054	Uget	uget	debian	implemented	uget	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution uGet package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; unpinned architecture-specific Xenial `.deb` download and optional hand-written desktop-file behavior are intentionally not retained.
ubuntu-055	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:055	Sayonara (PPA)	sayonara	debian	implemented	sayonara	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Sayonara package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-056	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:056	Franz (Messaging App)	franz	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-057	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:057	balenaEtcher	balenaetcher	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-058	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:058	Vivaldi	vivaldi	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-059	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:059	Spotify	spotify	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-060	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:060	MusicBrainz Picard (PPA)	musicbrainz-picard	debian	implemented	musicbrainz-picard	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution MusicBrainz Picard package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-061	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:061	pCloud Drive	pcloud-drive	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-062	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:062	Timeshift (PPA)	timeshift	debian	planned	timeshift	intent	-	Candidate mapping to the active timeshift module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-063	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:063	Peek (GIF Recorder) (PPA)	peek	debian	retired	simplescreenrecorder	intent	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	Peek is deprecated and archived; the active SimpleScreenRecorder module is the maintained general screen-recording handoff.
ubuntu-064	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:064	Stacer (System Optimizer) (PPA)	stacer	debian	planned	stacer	intent	-	Candidate mapping to the active stacer module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-065	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:065	Jenkins	jenkins	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-066	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:066	Docker	docker	debian	planned	docker	intent	-	The active Docker module uses the supported distribution package instead of the legacy Docker CE repository workflow; accepted install evidence remains pending.
ubuntu-067	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:067	Python 2 & 3 (From Source)	python-2-and-3	debian	planned	python	intent	-	The active Python module intentionally provides supported Python 3 packages and rejects Python 2 and unmanaged source builds; accepted install evidence remains pending.
ubuntu-068	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:068	Telegram (PPA)	telegram	debian	blocked-third-party	-	unassessed	-	An exact Debian 12 x86_64 package-only candidate exists, but this legacy row stays blocked until accepted solver, real-install, repeat-state and intent-parity evidence promotes it.
ubuntu-069	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:069	Brackets (PPA)	brackets	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	Adobe's Brackets repository is archived and read-only; use a maintained editor or supported successor.
ubuntu-070	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:070	Shotcut (Snap)	shotcut	debian	implemented	shotcut	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Shotcut package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; Snap and optional hand-written desktop-file behavior are intentionally not retained.
ubuntu-071	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:071	Okular (Document Viewer) (Snap)	okular	debian	implemented	okular	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Okular package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; it preserves the legacy APT option and intentionally does not retain the alternative Snap path or user launcher.
ubuntu-072	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:072	WeeChat (IRC)	weechat	debian	planned	weechat	intent	-	Candidate module added; package visibility was observed in local exploratory checks on Ubuntu 24.04 and Debian 12; accepted real-install and parity evidence remain pending.
ubuntu-073	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:073	Quassel (IRC) (PPA)	quassel	debian	implemented	quassel	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Quassel client package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; no PPA or optional hand-written desktop file is retained.
ubuntu-074	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:074	Konversation (IRC)	konversation	debian	planned	konversation	intent	-	Candidate module added; package visibility was observed in local exploratory checks on Ubuntu 24.04 and Debian 12; accepted real-install and parity evidence remain pending.
ubuntu-075	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:075	Ramme (Instagram Desktop App)	ramme	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	The unofficial Ramme client is archived and read-only; use Instagram's supported surfaces.
ubuntu-076	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:076	Atom	atom	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	GitHub sunset Atom and ended its security updates and package management; use a maintained editor.
ubuntu-077	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:077	Google Play Music Player	google-play-music-player	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	Google Play Music was replaced by YouTube Music; use the supported YouTube Music surface.
ubuntu-078	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:078	Ubuntu Cleaner (PPA)	ubuntu-cleaner	debian	out-of-scope	-	unassessed	docs/LEGACY_DISPOSITIONS.md#reviewed-vendor-or-deployment-handoffs	Ubuntu Cleaner removes caches, packages, old kernels and private data; cleanup selection and recovery policy remain administrator-owned.
