legacy_id	normalized_capability	strategy	recommended_action	replacement_outcome	rationale
rhel-red-hat-enterprise-linux-8-036-clamav	clamav	epel-package	implement	clamav	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-038-vlc	vlc	rpm-fusion	implement	vlc	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-red-hat-enterprise-linux-8-004-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-040-fail2ban	fail2ban	epel-package	implement	fail2ban	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-042-composer	composer	epel-package	implement	composer	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-005-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-red-hat-enterprise-linux-8-007-transmission	transmission	epel-package	implement	transmission	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-011-dvblast	dvblast	epel-package	implement	dvblast	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-016-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-027-jenkins	jenkins	vendor-rpm	implement	jenkins	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-9-029-fail2ban	fail2ban	epel-package	implement	fail2ban	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-030-tinc	tinc	epel-package	implement	tinc	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-006-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
